company,title,season,category,location,sponsorship,h1b_approvals,salary,posted_at,first_seen_at,url
Motorola,Intern – Web Interface Software Engineer (2026),Fall 2026,Software,"Los Angeles, CA",citizens-only,104,,2026-05-01T00:00:00Z,2026-07-01T20:55:33Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Los-Angeles-CA/Intern---Web-Interface-Software-Engineer--2026-_R64590
Gemini,Software Engineering Intern (Fall 2026),Fall 2026,Software,"New York, New York",unknown,28,,2026-05-01T16:57:37-04:00,2026-06-30T12:14:22Z,https://boards.greenhouse.io/embed/job_app?for=gemini&token=7875125&gh_jid=7875125
Dmainc,Software Development Intern - Fall 2026,Fall 2026,Software,"Fort Wayne, IN",unknown,,,2026-04-27T00:00:00Z,2026-07-01T20:55:33Z,https://dmainc.wd5.myworkdayjobs.com/dma/job/Fort-Wayne-IN/Software-Development-Intern_REQ460
TMEIC,"Intern - Applications, AI and Machine Learning (Fall 2026) (ET26021)",Fall 2026,Data & ML/AI,"Roanoke, Virginia, United States",no-sponsorship,7,,2026-04-24T00:00:00.000Z,2026-07-01T20:55:33Z,https://apply.workable.com/tmeic-corporation-americas/j/FD4C9770FF/
Lego,Firmware Engineering Co-Op - Fall 2026,Fall 2026,Hardware,United States of America,unknown,3,,2026-04-20T00:00:00Z,2026-07-01T20:55:33Z,https://lego.wd103.myworkdayjobs.com/lego_executive/job/Boston-Hub/Firmware-Engineering-Intern_0000031568
Hermeus,Software Engineering Intern (HIL) - Fall 2026,Fall 2026,Software,"Atlanta, GA",citizens-only,,25–33 USD / per hour wage,2026-04-17T18:15:04Z,2026-06-30T12:14:22Z,https://jobs.lever.co/hermeus/10d69ef6-a754-42ab-833c-76adf01367bf
Hermeus,Software Engineering Intern (Modeling & Simulation) - Fall 2026,Fall 2026,Software,"Los Angeles, CA",citizens-only,,25–33 USD / per hour wage,2026-04-17T19:07:22Z,2026-06-30T12:14:22Z,https://jobs.lever.co/hermeus/49f7cf3f-bf66-44ca-bf97-ee0f7180a68d
Notion,Software Engineer Intern (Fall 2026),Fall 2026,Software,"San Francisco, California",unknown,12,,2026-04-06T22:40:58.312+00:00,2026-06-30T12:14:22Z,https://jobs.ashbyhq.com/notion/5b15697c-fa91-4511-9482-c98a6ff29f90
SharkNinja,Fall 2026: SharkByte Applied AI & Analytics Co-op (July to December),Fall 2026,Data & ML/AI,"Miami, Florida, United States; Needham, MA, United States",unknown,6,,2026-04-02T12:16:35-04:00,2026-06-30T12:14:22Z,https://job-boards.greenhouse.io/sharkninjaoperatingllc/jobs/4669676006
Hermeus,Software Engineering Intern (HMI) - Fall 2026,Fall 2026,Software,"Atlanta, GA",citizens-only,,25–33 USD / per hour wage,2026-04-01T03:02:00Z,2026-06-30T12:14:22Z,https://jobs.lever.co/hermeus/a3a1f0ea-6a4f-42e5-81c8-3b34dac22a67
Motorola,"Intern - Embedded Software, System, and Test Engineer - 2026",Fall 2026,Software,"Irvine, CA",citizens-only,104,,2026-03-30T00:00:00Z,2026-07-01T20:55:33Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Irvine-CA/Intern---Embedded-Software--System--and-Test-Engineer---2026_R62372
Varda Space,Flight Software Internship - Fall 2026,Fall 2026,Software,"El Segundo, California, United States",citizens-only,,,2026-03-23T19:44:52-04:00,2026-06-30T12:14:22Z,https://job-boards.greenhouse.io/vardaspace/jobs/7676465003
Center for AI Safety,Research Engineer Intern (Fall 2026),Fall 2026,Software,"San Francisco, CA",unknown,,"9,700–19,000 USD / per year salary",2026-03-05T04:22:05Z,2026-06-30T12:14:22Z,https://jobs.lever.co/aisafety/e011814b-9a80-43d6-bb0c-cc153ea4bec4
Amazon,Robotics - Software Development Engineer Intern/Co-op - 2026,Fall 2026,Hardware,"Westboro, Wisconsin, USA",unknown,,,2025-12-03T00:00:00Z,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/3136266/robotics-software-development-engineer-intern-co-op-2026
Amazon,"Amazon Industrial Robotics - Applied Scientist II Intern / Co-op - 2026, Amazon Industrial Robotics",Fall 2026,Data & ML/AI,"North Reading, Massachusetts, USA",unknown,,,2025-11-25T00:00:00Z,2026-06-30T17:50:48Z,https://www.amazon.jobs/en/jobs/3132414/amazon-industrial-robotics-applied-scientist-ii-intern-co-op-2026-amazon-industrial-robotics
